2026-09-05	arxiv	all:"analysis by synthesis" AND all:"3D" AND all:objects	20
2026-09-05	arxiv	all:"vision language model" AND all:"3D scene" AND all:reconstruction AND all:"training-free"	5
2026-09-05	arxiv	all:"large language model" AND all:"code interpreter" AND all:vision	2
2026-09-05	arxiv	all:"LLM" AND all:"scene graph" AND all:"3D" AND all:robot	20
2026-09-05	arxiv	ti:"world model" AND all:robot AND all:"object-centric"	12
2026-09-05	arxiv	all:"two-view" AND all:"unknown focal" AND all:pose AND all:cube	0
2026-09-05	arxiv	ti:"inverse graphics" AND all:probabilistic	4
2026-09-05	arxiv	ti:"3DP3" OR ti:"Bayes3D" OR (ti:"probabilistic programming" AND all:"scene perception")	2
2026-09-05	arxiv	ti:"ViperGPT" OR ti:"Visual Programming" OR ti:"Visual Sketchpad"	12
2026-09-05	arxiv	all:"neural scene de-rendering" OR ti:"scene de-rendering"	0
2026-09-05	arxiv	ti:CLEVR AND all:"object-centric" AND all:unsupervised	0
2026-09-05	arxiv	ti:"Real2Code" OR ti:"digital cousins" OR ti:"URDFormer" OR (ti:"real2sim" AND all:LLM)	8
2026-09-05	arxiv	ti:"world models" AND au:Schmidhuber AND au:Ha	2
2026-09-05	arxiv	all:"symmetry-aware" AND all:"pose" AND all:benchmark AND all:BOP	1
2026-09-05	arxiv	all:"unknown focal length" AND all:"P4Pf"	0
2026-09-05	arxiv	ti:"spatial reasoning" AND ti:"vision language models" AND all:benchmark	12
2026-09-05	arxiv	ti:CLEVR AND ti:diagnostic	2
2026-09-05	arxiv	ti:"Slot Attention" OR ti:"MONet" OR ti:"IODINE" OR ti:"Neural Scene De-rendering"	10
2026-09-05	arxiv	ti:"Vision language models are blind" OR ti:"Thinking in Space" OR (ti:"multi-frame" AND ti:"spatial" AND ti:VLM)	9
2026-09-05	arxiv	ti:"Dreamer" AND au:Hafner	0
2026-09-05	arxiv	ti:"RoboGen" OR ti:"GenSim" OR (ti:"simulation" AND ti:"LLM" AND ti:"robot" AND ti:"generat")	4
2026-09-05	arxiv	all:"perspective-n-point" AND all:"unknown focal" AND all:minimal	0
2026-09-05	arxiv	ti:"structure from motion" AND ti:"two views" AND ti:"unknown focal"	0
2026-09-05	arxiv	ti:"Scene as code" OR ti:"scene description" AND ti:"LLM" AND ti:"program" AND ti:"3D"	1
2026-09-05	arxiv	ti:"VLM" AND ti:"tool" AND ti:"geometry" AND all:"3D"	0
2026-09-05	arxiv	ti:"SpatialVLM" OR ti:"Chain-of-Spot" OR (ti:"VLM" AND ti:"zoom" AND ti:tool)	2
2026-09-05	arxiv	ti:"Perception Tokens" OR (ti:"visual" AND ti:"chain-of-thought" AND ti:"3D")	4
2026-09-05	arxiv	ti:"Dream to Control" OR ti:"Mastering Diverse Domains through World Models"	3
2026-09-05	arxiv	ti:"Multi-Object Representation Learning with Iterative Variational Inference" OR ti:"MONet: Unsupervised Scene Decomposition"	2
2026-09-05	arxiv	ti:"Deep Convolutional Inverse Graphics Network"	1
2026-09-05	arxiv	ti:"Cosmos World Foundation Model" OR ti:"Genie 2" OR ti:"V-JEPA"	7
2026-09-05	arxiv	ti:"program synthesis" AND ti:"3D" AND ti:"scene"	0
2026-09-05	arxiv	ti:"agent" AND ti:"3D" AND ti:"spatial" AND ti:"tool" AND all:"vision language"	0
